PROVEEDOR,INSUMO,RUTA,CORREO
MINUTO VERDE,"PAPAS FRITAS 7MM; EMPANADAS MEDIA LUNA; AROS DE CEBOLLA; PECHUGA DE POLLO DESHUESADA","LUNES-MARTES; MARTES-MIERCOLES; MIERCOLES-JUEVES; JUEVES-VIERNES; VIERNES-SABADO; VIERNES-LUNES",admvta@minutoverde.cl
CAMILO FERRON,MANTECA SEMILIQUIDA,"LUNES-MARTES; JUEVES-VIERNES",ventas@ferronchile.cl
PF,TOCINO,"LUNES-MIERCOLES; MIERCOLES-VIERNES; VIERNES-LUNES",octavio.fuentes@pfalimentos.cl
AGROSUPER,"TRUTRO DESHUESADO; TRUTRO ALA; FILETILLO DE POLLO","LUNES-MIERCOLES; MIERCOLES-VIERNES; VIERNES-LUNES",vnettle@agrosuper.com
GIRASOLES,"LECHUGA ESCAROLA; LECHUGA VARIEDAD; CEBOLLA PLUMA; CEBOLLA MORADA; CILANTRO; MIX COLESLAW; AJI VERDE","LUNES-MARTES; MIERCOLES-JUEVES; VIERNES-SABADO","pedidos@agrogirasol.cl; pquintana@agrogirasol.cl"
BAGNO,"TOMATE; PALTA","LUNES-MARTES; MARTES-MIERCOLES; MIERCOLES-JUEVES; JUEVES-VIERNES; VIERNES-SABADO",pedidos@bagno.cl
ANDINA,"BIB COCA; BIB COCA ZERO; BIB ANDIFRUT; BIB FANTA ZERO; BIB SPRITE ZERO; COCA 350 CC; COCA ZERO 350 CC; FANTA 350 CC; SPRITE 350 CC; COCA 1.5 LTS; COCA ZERO 1.5 LTS; FANTA ZERO 1.5 LTS; SPRITE 1.5 LTS; BENEDICTINO S/G; BENEDICTINO C/G","LUNES-MIERCOLES; MIERCOLES-SABADO",contactcenter5@koandina.com
IDEAL,PAN BRIOCHE,"LUNES-JUEVES; MIERCOLES-SABADO; VIERNES-MARTES",olaolacl.centraldepedidos@grupobimbo.com
ICB,"QUESO CHEDDAR; QUESO MOZZARELLA","LUNES-MARTES; MARTES-MIERCOLES; MIERCOLES-JUEVES; JUEVES-VIERNES",emontilla@icbfs.cl
SOPROLE,"CREMA DE LECHE; LECHE ENTERA; YOGURT","MIERCOLES-SABADO; VIERNES-MARTES",
AROMO,VINO BLANCO,"LUNES-MARTES; JUEVES-VIERNES",
FOOD EXPERT,PEPINILLOS DILL LAMINADO,"MIERCOLES-SABADO; VIERNES-MARTES",
HUNGRY BROS,SMOKEY BBQ SAUCE,"LUNES-MARTES; MARTES-MIERCOLES",
GOURMET,"HUMO LIQUIDO; SALSA DE SOYA; SALSA INGLESA","LUNES-MARTES; JUEVES-VIERNES",
HELA,"CONDIMENTO CAJUN; APANADO CROCANTE; HARINA 25 KG; EMPANIZADOR","MIERCOLES-SABADO; VIERNES-MARTES",
DULCONO ROMA,"CONO – SUPER; CONO ARTESANAL","LUNES-MARTES; MARTES-MIERCOLES",
HELLMANNS,"MAYONESA; KETCHUP; BBQ","LUNES-MARTES; MARTES-MIERCOLES; MIERCOLES-JUEVES; JUEVES-VIERNES",
JB,"MOSTAZA; AJI","LUNES-MARTES; MARTES-MIERCOLES; MIERCOLES-JUEVES; JUEVES-VIERNES",
TRAVERSO,VINAGRE DE VINO ROSADO,"MIERCOLES-SABADO; VIERNES-MARTES",
PANCHO VILLA,TORTILLAS MEXICANAS GIGANTES,"LUNES-MARTES; MARTES-MIERCOLES",
